transaction_code,date,total_amount,payment_method,status
TRX-KLN-20250802-00024,2025-08-02 10:56:33,101000.0,CASH,COMPLETED
TRX-KLN-20250802-00025,2025-08-02 19:24:19,58000.0,CASH,COMPLETED
TRX-KLN-20250802-00026,2025-08-02 11:11:20,159000.0,QRIS,COMPLETED
TRX-KLN-20250802-00027,2025-08-02 18:54:13,32000.0,CASH,COMPLETED
TRX-KLN-20250802-00028,2025-08-02 15:53:54,177000.0,QRIS,COMPLETED
TRX-KLN-20250802-00029,2025-08-02 18:13:07,25000.0,CASH,COMPLETED
TRX-KLN-20250802-00030,2025-08-02 16:06:50,4000.0,CASH,COMPLETED
TRX-KLN-20250802-00031,2025-08-02 18:46:51,19000.0,CASH,COMPLETED
TRX-KLN-20250802-00032,2025-08-02 16:04:18,73000.0,CASH,COMPLETED
TRX-KLN-20250802-00033,2025-08-02 08:15:01,55500.0,CASH,COMPLETED
TRX-KLN-20250802-00034,2025-08-02 11:29:38,27000.0,CASH,COMPLETED
TRX-KLN-20250802-00035,2025-08-02 16:27:43,53000.0,EWALLET,COMPLETED
TRX-KLN-20250802-00036,2025-08-02 12:47:45,136000.0,QRIS,COMPLETED
TRX-KLN-20250802-00037,2025-08-02 11:49:51,39000.0,EWALLET,COMPLETED
TRX-KLN-20250802-00038,2025-08-02 10:03:46,202500.0,CASH,COMPLETED
TRX-KLN-20250802-00039,2025-08-02 09:26:24,42000.0,QRIS,COMPLETED
TRX-KLN-20250802-00040,2025-08-02 18:11:34,32000.0,TRANSFER,COMPLETED
TRX-KLN-20250802-00041,2025-08-02 18:14:01,19000.0,CASH,COMPLETED
TRX-KLN-20250802-00042,2025-08-02 09:40:37,29000.0,QRIS,COMPLETED
TRX-KLN-20250802-00043,2025-08-02 20:32:52,38000.0,CASH,COMPLETED
TRX-KLN-20250802-00044,2025-08-02 16:15:30,6200.0,TRANSFER,COMPLETED
TRX-KLN-20250802-00045,2025-08-02 19:25:45,50200.0,CASH,COMPLETED
TRX-KLN-20250802-00046,2025-08-02 18:57:50,28000.0,CASH,COMPLETED
TRX-KLN-20250802-00047,2025-08-02 20:52:53,72000.0,CASH,COMPLETED
TRX-KLN-20250802-00048,2025-08-02 15:16:08,123500.0,QRIS,COMPLETED
TRX-KLN-20250802-00049,2025-08-02 17:19:36,6000.0,CASH,COMPLETED
TRX-KLN-20250802-00050,2025-08-02 18:42:10,128000.0,CASH,COMPLETED
TRX-KLN-20250802-00051,2025-08-02 16:50:12,6000.0,CASH,COMPLETED
TRX-KLN-20250803-00052,2025-08-03 21:12:47,49000.0,CASH,COMPLETED
TRX-KLN-20250803-00053,2025-08-03 09:33:01,9500.0,CASH,COMPLETED
TRX-KLN-20250803-00054,2025-08-03 15:56:45,76000.0,CASH,COMPLETED
TRX-KLN-20250803-00055,2025-08-03 09:39:15,16000.0,CASH,COMPLETED
TRX-KLN-20250803-00056,2025-08-03 08:16:39,37000.0,CASH,COMPLETED
TRX-KLN-20250803-00057,2025-08-03 09:33:15,69500.0,QRIS,COMPLETED
TRX-KLN-20250803-00058,2025-08-03 08:31:49,21000.0,CASH,COMPLETED
TRX-KLN-20250803-00059,2025-08-03 15:21:20,67500.0,CASH,COMPLETED
TRX-KLN-20250803-00060,2025-08-03 10:44:58,8000.0,QRIS,COMPLETED
TRX-KLN-20250803-00061,2025-08-03 16:13:09,7000.0,CASH,COMPLETED
TRX-KLN-20250803-00062,2025-08-03 18:20:17,127500.0,CASH,COMPLETED
TRX-KLN-20250803-00063,2025-08-03 16:07:17,103500.0,CASH,COMPLETED
TRX-KLN-20250803-00064,2025-08-03 15:21:43,55500.0,QRIS,COMPLETED
TRX-KLN-20250803-00065,2025-08-03 15:43:54,56000.0,CASH,COMPLETED
TRX-KLN-20250803-00066,2025-08-03 08:25:46,9000.0,CASH,COMPLETED
TRX-KLN-20250803-00067,2025-08-03 17:26:53,29500.0,QRIS,COMPLETED
TRX-KLN-20250803-00068,2025-08-03 17:42:54,186000.0,CASH,COMPLETED
TRX-KLN-20250803-00069,2025-08-03 08:44:12,105000.0,EWALLET,COMPLETED
TRX-KLN-20250803-00070,2025-08-03 20:13:38,25000.0,CASH,COMPLETED
TRX-KLN-20250803-00071,2025-08-03 17:35:08,12000.0,CASH,COMPLETED
TRX-KLN-20250803-00072,2025-08-03 17:14:58,40000.0,CASH,COMPLETED
TRX-KLN-20250803-00073,2025-08-03 10:56:20,130000.0,QRIS,COMPLETED
TRX-KLN-20250804-00074,2025-08-04 18:29:12,17000.0,CASH,COMPLETED
TRX-KLN-20250804-00075,2025-08-04 08:26:55,14000.0,EWALLET,COMPLETED
TRX-KLN-20250804-00076,2025-08-04 16:54:32,62500.0,EWALLET,COMPLETED
TRX-KLN-20250804-00077,2025-08-04 19:11:48,17000.0,CASH,COMPLETED
TRX-KLN-20250804-00078,2025-08-04 21:01:29,12000.0,TRANSFER,COMPLETED
TRX-KLN-20250804-00079,2025-08-04 09:13:50,104000.0,EWALLET,COMPLETED
TRX-KLN-20250804-00080,2025-08-04 13:39:46,61500.0,EWALLET,COMPLETED
TRX-KLN-20250804-00081,2025-08-04 17:08:51,148000.0,EWALLET,COMPLETED
TRX-KLN-20250804-00082,2025-08-04 09:17:34,49500.0,QRIS,COMPLETED
TRX-KLN-20250804-00083,2025-08-04 18:43:09,11000.0,TRANSFER,COMPLETED
TRX-KLN-20250804-00084,2025-08-04 20:19:14,67000.0,QRIS,COMPLETED
TRX-KLN-20250804-00085,2025-08-04 09:20:09,85500.0,CASH,COMPLETED
TRX-KLN-20250804-00086,2025-08-04 18:44:52,97000.0,CASH,COMPLETED
TRX-KLN-20250804-00087,2025-08-04 10:53:10,28000.0,CASH,COMPLETED
TRX-KLN-20250804-00088,2025-08-04 15:55:27,107500.0,EWALLET,COMPLETED
TRX-KLN-20250804-00089,2025-08-04 16:28:59,98000.0,CASH,COMPLETED
TRX-KLN-20250804-00090,2025-08-04 12:43:39,76500.0,CASH,COMPLETED
TRX-KLN-20250804-00091,2025-08-04 07:09:41,53000.0,CASH,COMPLETED
TRX-KLN-20250804-00092,2025-08-04 19:53:22,70500.0,CASH,COMPLETED
TRX-KLN-20250804-00093,2025-08-04 14:38:40,60000.0,EWALLET,COMPLETED
TRX-KLN-20250805-00094,2025-08-05 14:22:34,38500.0,CASH,COMPLETED
TRX-KLN-20250805-00095,2025-08-05 15:28:36,38000.0,CASH,COMPLETED
TRX-KLN-20250805-00096,2025-08-05 07:57:20,37000.0,CASH,COMPLETED
TRX-KLN-20250805-00097,2025-08-05 19:01:02,69000.0,QRIS,COMPLETED
TRX-KLN-20250805-00098,2025-08-05 19:21:45,25500.0,CASH,COMPLETED
TRX-KLN-20250805-00099,2025-08-05 17:25:15,12000.0,CASH,COMPLETED
TRX-KLN-20250805-00100,2025-08-05 13:49:07,15500.0,CASH,COMPLETED
TRX-KLN-20250805-00101,2025-08-05 12:02:33,24000.0,CASH,COMPLETED
TRX-KLN-20250805-00102,2025-08-05 19:37:01,8500.0,EWALLET,COMPLETED
TRX-KLN-20250805-00103,2025-08-05 09:23:51,48000.0,CASH,COMPLETED
TRX-KLN-20250805-00104,2025-08-05 18:51:06,75000.0,CASH,COMPLETED
TRX-KLN-20250805-00105,2025-08-05 15:58:23,29000.0,CASH,COMPLETED
TRX-KLN-20250805-00106,2025-08-05 18:35:07,107000.0,EWALLET,COMPLETED
TRX-KLN-20250805-00107,2025-08-05 19:12:41,111000.0,CASH,COMPLETED
TRX-KLN-20250805-00108,2025-08-05 11:00:18,145500.0,TRANSFER,COMPLETED
TRX-KLN-20250805-00109,2025-08-05 17:10:35,26000.0,QRIS,COMPLETED
TRX-KLN-20250806-00110,2025-08-06 12:34:25,123100.0,CASH,COMPLETED
TRX-KLN-20250806-00111,2025-08-06 14:39:11,29000.0,CASH,COMPLETED
TRX-KLN-20250806-00112,2025-08-06 13:41:41,16000.0,CASH,COMPLETED
TRX-KLN-20250806-00113,2025-08-06 18:36:55,82700.0,QRIS,COMPLETED
TRX-KLN-20250806-00114,2025-08-06 09:35:07,1500.0,EWALLET,COMPLETED
TRX-KLN-20250806-00115,2025-08-06 15:26:42,20500.0,QRIS,COMPLETED
TRX-KLN-20250806-00116,2025-08-06 07:16:15,9300.0,CASH,COMPLETED
TRX-KLN-20250806-00117,2025-08-06 17:36:11,9500.0,EWALLET,COMPLETED
TRX-KLN-20250806-00118,2025-08-06 12:47:11,62500.0,CASH,COMPLETED
TRX-KLN-20250806-00119,2025-08-06 16:32:59,34500.0,CASH,COMPLETED
TRX-KLN-20250806-00120,2025-08-06 09:16:01,3000.0,CASH,COMPLETED
TRX-KLN-20250806-00121,2025-08-06 07:37:07,16000.0,QRIS,COMPLETED
TRX-KLN-20250806-00122,2025-08-06 18:17:28,20000.0,QRIS,COMPLETED
TRX-KLN-20250806-00123,2025-08-06 13:18:55,29000.0,CASH,COMPLETED
TRX-KLN-20250806-00124,2025-08-06 10:44:18,25500.0,CASH,COMPLETED
TRX-KLN-20250806-00125,2025-08-06 10:08:38,19000.0,CASH,COMPLETED
TRX-KLN-20250806-00126,2025-08-06 11:34:34,103000.0,CASH,COMPLETED
TRX-KLN-20250806-00127,2025-08-06 18:19:10,87000.0,CASH,COMPLETED
TRX-KLN-20250806-00128,2025-08-06 16:47:02,33000.0,CASH,COMPLETED
TRX-KLN-20250806-00129,2025-08-06 16:34:56,51000.0,CASH,COMPLETED
TRX-KLN-20250807-00130,2025-08-07 15:24:39,43400.0,TRANSFER,COMPLETED
TRX-KLN-20250807-00131,2025-08-07 19:01:06,58000.0,CASH,COMPLETED
TRX-KLN-20250807-00132,2025-08-07 21:10:27,80000.0,EWALLET,COMPLETED
TRX-KLN-20250807-00133,2025-08-07 09:25:07,31000.0,CASH,COMPLETED
TRX-KLN-20250807-00134,2025-08-07 11:00:06,65000.0,CASH,COMPLETED
TRX-KLN-20250807-00135,2025-08-07 18:12:55,84500.0,CASH,COMPLETED
TRX-KLN-20250807-00136,2025-08-07 10:28:29,74000.0,CASH,COMPLETED
TRX-KLN-20250807-00137,2025-08-07 14:03:28,44000.0,CASH,COMPLETED
TRX-KLN-20250807-00138,2025-08-07 08:45:34,26500.0,CASH,COMPLETED
TRX-KLN-20250807-00139,2025-08-07 16:50:19,4000.0,QRIS,COMPLETED
TRX-KLN-20250807-00140,2025-08-07 12:48:04,19000.0,CASH,COMPLETED
TRX-KLN-20250807-00141,2025-08-07 11:27:54,16000.0,QRIS,COMPLETED
TRX-KLN-20250807-00142,2025-08-07 15:33:26,19000.0,CASH,COMPLETED
TRX-KLN-20250807-00143,2025-08-07 13:54:55,32000.0,CASH,COMPLETED
TRX-KLN-20250807-00144,2025-08-07 11:16:19,5500.0,CASH,COMPLETED
TRX-KLN-20250807-00145,2025-08-07 16:21:44,19000.0,QRIS,COMPLETED
TRX-KLN-20250807-00146,2025-08-07 13:27:39,29500.0,TRANSFER,COMPLETED
TRX-KLN-20250807-00147,2025-08-07 21:48:43,30000.0,CASH,COMPLETED
TRX-KLN-20250808-00148,2025-08-08 17:34:33,63000.0,TRANSFER,COMPLETED
TRX-KLN-20250808-00149,2025-08-08 10:44:04,69000.0,CASH,COMPLETED
TRX-KLN-20250808-00150,2025-08-08 17:48:49,29500.0,EWALLET,COMPLETED
TRX-KLN-20250808-00151,2025-08-08 13:09:17,48000.0,CASH,COMPLETED
TRX-KLN-20250808-00152,2025-08-08 13:30:28,98000.0,QRIS,COMPLETED
TRX-KLN-20250808-00153,2025-08-08 13:17:47,35500.0,CASH,COMPLETED
TRX-KLN-20250808-00154,2025-08-08 11:56:06,1500.0,CASH,COMPLETED
TRX-KLN-20250808-00155,2025-08-08 19:00:23,54000.0,CASH,COMPLETED
TRX-KLN-20250808-00156,2025-08-08 08:34:35,9500.0,QRIS,COMPLETED
TRX-KLN-20250808-00157,2025-08-08 14:22:50,44000.0,CASH,COMPLETED
TRX-KLN-20250808-00158,2025-08-08 09:16:37,16500.0,EWALLET,COMPLETED
TRX-KLN-20250808-00159,2025-08-08 14:58:40,19500.0,EWALLET,COMPLETED
TRX-KLN-20250808-00160,2025-08-08 12:59:14,63500.0,CASH,COMPLETED
TRX-KLN-20250809-00161,2025-08-09 19:45:06,37000.0,EWALLET,COMPLETED
TRX-KLN-20250809-00162,2025-08-09 18:04:30,3000.0,EWALLET,COMPLETED
TRX-KLN-20250809-00163,2025-08-09 17:53:03,36000.0,CASH,COMPLETED
TRX-KLN-20250809-00164,2025-08-09 07:20:12,4000.0,CASH,COMPLETED
TRX-KLN-20250809-00165,2025-08-09 18:43:21,14800.0,QRIS,COMPLETED
TRX-KLN-20250809-00166,2025-08-09 16:31:59,28000.0,QRIS,COMPLETED
TRX-KLN-20250809-00167,2025-08-09 19:12:34,65500.0,CASH,COMPLETED
TRX-KLN-20250809-00168,2025-08-09 13:59:43,5500.0,CASH,COMPLETED
TRX-KLN-20250809-00169,2025-08-09 14:07:45,34500.0,CASH,COMPLETED
TRX-KLN-20250809-00170,2025-08-09 11:13:29,247000.0,TRANSFER,COMPLETED
TRX-KLN-20250809-00171,2025-08-09 20:08:52,11000.0,CASH,COMPLETED
TRX-KLN-20250809-00172,2025-08-09 11:52:27,57000.0,QRIS,COMPLETED
TRX-KLN-20250809-00173,2025-08-09 19:38:34,56000.0,QRIS,COMPLETED
TRX-KLN-20250809-00174,2025-08-09 21:15:46,34000.0,CASH,COMPLETED
TRX-KLN-20250809-00175,2025-08-09 09:46:49,9000.0,CASH,COMPLETED
TRX-KLN-20250809-00176,2025-08-09 07:17:54,105000.0,QRIS,COMPLETED
TRX-KLN-20250809-00177,2025-08-09 08:24:56,22000.0,CASH,COMPLETED
TRX-KLN-20250809-00178,2025-08-09 17:07:45,15000.0,EWALLET,COMPLETED
TRX-KLN-20250809-00179,2025-08-09 18:58:20,42500.0,TRANSFER,COMPLETED
TRX-KLN-20250809-00180,2025-08-09 16:17:49,112000.0,QRIS,COMPLETED
TRX-KLN-20250809-00181,2025-08-09 09:51:17,58000.0,EWALLET,COMPLETED
TRX-KLN-20250809-00182,2025-08-09 16:25:48,75000.0,CASH,COMPLETED
TRX-KLN-20250809-00183,2025-08-09 21:02:40,15000.0,CASH,COMPLETED
TRX-KLN-20250810-00184,2025-08-10 16:06:28,54500.0,CASH,COMPLETED
TRX-KLN-20250810-00185,2025-08-10 07:28:02,9000.0,EWALLET,COMPLETED
TRX-KLN-20250810-00186,2025-08-10 14:44:33,63500.0,TRANSFER,COMPLETED
TRX-KLN-20250810-00187,2025-08-10 19:19:25,16000.0,CASH,COMPLETED
TRX-KLN-20250810-00188,2025-08-10 10:15:02,3000.0,CASH,COMPLETED
TRX-KLN-20250810-00189,2025-08-10 20:19:10,42000.0,EWALLET,COMPLETED
TRX-KLN-20250810-00190,2025-08-10 19:31:06,4000.0,QRIS,COMPLETED
TRX-KLN-20250810-00191,2025-08-10 10:02:05,130500.0,CASH,COMPLETED
TRX-KLN-20250810-00192,2025-08-10 18:55:51,136000.0,QRIS,COMPLETED
TRX-KLN-20250810-00193,2025-08-10 16:11:37,41500.0,CASH,COMPLETED
TRX-KLN-20250810-00194,2025-08-10 18:31:43,47500.0,CASH,COMPLETED
TRX-KLN-20250810-00195,2025-08-10 19:38:38,6000.0,TRANSFER,COMPLETED
TRX-KLN-20250810-00196,2025-08-10 17:30:52,9000.0,CASH,COMPLETED
TRX-KLN-20250810-00197,2025-08-10 20:14:52,6000.0,CASH,COMPLETED
TRX-KLN-20250810-00198,2025-08-10 09:57:52,34500.0,CASH,COMPLETED
TRX-KLN-20250811-00199,2025-08-11 09:07:29,89000.0,QRIS,COMPLETED
TRX-KLN-20250811-00200,2025-08-11 17:26:25,44500.0,CASH,COMPLETED
TRX-KLN-20250811-00201,2025-08-11 20:45:46,19000.0,CASH,COMPLETED
TRX-KLN-20250811-00202,2025-08-11 09:10:33,103500.0,EWALLET,COMPLETED
TRX-KLN-20250811-00203,2025-08-11 18:43:51,24000.0,CASH,COMPLETED
TRX-KLN-20250811-00204,2025-08-11 09:33:37,137000.0,CASH,COMPLETED
TRX-KLN-20250811-00205,2025-08-11 19:03:52,6200.0,CASH,COMPLETED
TRX-KLN-20250811-00206,2025-08-11 12:23:56,26500.0,TRANSFER,COMPLETED
TRX-KLN-20250811-00207,2025-08-11 13:02:41,87500.0,CASH,COMPLETED
TRX-KLN-20250811-00208,2025-08-11 08:33:22,34500.0,CASH,COMPLETED
TRX-KLN-20250811-00209,2025-08-11 10:25:48,10000.0,CASH,COMPLETED
TRX-KLN-20250811-00210,2025-08-11 15:49:25,144000.0,CASH,COMPLETED
TRX-KLN-20250811-00211,2025-08-11 21:03:27,14000.0,EWALLET,COMPLETED
TRX-KLN-20250812-00212,2025-08-12 08:41:07,6000.0,CASH,COMPLETED
TRX-KLN-20250812-00213,2025-08-12 08:21:35,16500.0,QRIS,COMPLETED
TRX-KLN-20250812-00214,2025-08-12 21:01:49,6000.0,CASH,COMPLETED
TRX-KLN-20250812-00215,2025-08-12 07:58:40,48000.0,CASH,COMPLETED
TRX-KLN-20250812-00216,2025-08-12 07:45:07,9500.0,CASH,COMPLETED
TRX-KLN-20250812-00217,2025-08-12 18:51:32,170500.0,QRIS,COMPLETED
TRX-KLN-20250812-00218,2025-08-12 08:14:23,25500.0,CASH,COMPLETED
TRX-KLN-20250812-00219,2025-08-12 17:51:33,63000.0,CASH,COMPLETED
TRX-KLN-20250812-00220,2025-08-12 17:23:19,30500.0,QRIS,COMPLETED
TRX-KLN-20250812-00221,2025-08-12 10:48:28,48000.0,QRIS,COMPLETED
TRX-KLN-20250812-00222,2025-08-12 16:57:54,60000.0,CASH,COMPLETED
TRX-KLN-20250812-00223,2025-08-12 13:17:53,127100.0,QRIS,COMPLETED
TRX-KLN-20250812-00224,2025-08-12 12:18:36,34500.0,CASH,COMPLETED
TRX-KLN-20250812-00225,2025-08-12 12:16:44,25000.0,TRANSFER,COMPLETED
TRX-KLN-20250812-00226,2025-08-12 18:38:10,51000.0,CASH,COMPLETED
TRX-KLN-20250812-00227,2025-08-12 18:38:25,6000.0,QRIS,COMPLETED
TRX-KLN-20250812-00228,2025-08-12 11:52:02,195000.0,QRIS,COMPLETED
TRX-KLN-20250812-00229,2025-08-12 19:52:26,14000.0,CASH,COMPLETED
TRX-KLN-20250812-00230,2025-08-12 15:24:22,14000.0,CASH,COMPLETED
TRX-KLN-20250813-00231,2025-08-13 15:02:42,17200.0,CASH,COMPLETED
TRX-KLN-20250813-00232,2025-08-13 19:26:36,14000.0,CASH,COMPLETED
TRX-KLN-20250813-00233,2025-08-13 07:36:33,80500.0,CASH,COMPLETED
TRX-KLN-20250813-00234,2025-08-13 18:10:54,25500.0,EWALLET,COMPLETED
TRX-KLN-20250813-00235,2025-08-13 16:51:27,58500.0,CASH,COMPLETED
TRX-KLN-20250813-00236,2025-08-13 17:51:09,6000.0,CASH,COMPLETED
TRX-KLN-20250813-00237,2025-08-13 18:17:27,21500.0,CASH,COMPLETED
TRX-KLN-20250813-00238,2025-08-13 19:28:38,3000.0,QRIS,COMPLETED
TRX-KLN-20250813-00239,2025-08-13 18:13:54,121500.0,CASH,COMPLETED
TRX-KLN-20250813-00240,2025-08-13 08:58:37,41500.0,QRIS,COMPLETED
TRX-KLN-20250813-00241,2025-08-13 17:32:26,148500.0,EWALLET,COMPLETED
TRX-KLN-20250813-00242,2025-08-13 09:56:36,25500.0,CASH,COMPLETED
TRX-KLN-20250813-00243,2025-08-13 19:42:08,47500.0,CASH,COMPLETED
TRX-KLN-20250813-00244,2025-08-13 15:10:21,16000.0,CASH,COMPLETED
TRX-KLN-20250813-00245,2025-08-13 14:31:44,6000.0,CASH,COMPLETED
TRX-KLN-20250813-00246,2025-08-13 17:57:46,68000.0,CASH,COMPLETED
TRX-KLN-20250813-00247,2025-08-13 16:48:18,14000.0,EWALLET,COMPLETED
TRX-KLN-20250813-00248,2025-08-13 18:34:18,21000.0,CASH,COMPLETED
TRX-KLN-20250813-00249,2025-08-13 11:33:20,9000.0,CASH,COMPLETED
TRX-KLN-20250813-00250,2025-08-13 09:51:15,8000.0,CASH,COMPLETED
TRX-KLN-20250814-00251,2025-08-14 16:53:12,47000.0,TRANSFER,COMPLETED
TRX-KLN-20250814-00252,2025-08-14 07:03:07,44000.0,CASH,COMPLETED
TRX-KLN-20250814-00253,2025-08-14 12:22:59,21000.0,QRIS,COMPLETED
TRX-KLN-20250814-00254,2025-08-14 07:10:22,7000.0,TRANSFER,COMPLETED
TRX-KLN-20250814-00255,2025-08-14 16:53:10,95500.0,CASH,COMPLETED
TRX-KLN-20250814-00256,2025-08-14 10:04:50,12400.0,CASH,COMPLETED
TRX-KLN-20250814-00257,2025-08-14 17:41:36,23000.0,CASH,COMPLETED
TRX-KLN-20250814-00258,2025-08-14 09:29:19,7000.0,CASH,COMPLETED
TRX-KLN-20250814-00259,2025-08-14 21:32:02,25000.0,QRIS,COMPLETED
TRX-KLN-20250814-00260,2025-08-14 18:48:20,9000.0,EWALLET,COMPLETED
TRX-KLN-20250814-00261,2025-08-14 13:33:51,128000.0,CASH,COMPLETED
TRX-KLN-20250814-00262,2025-08-14 07:37:44,12000.0,CASH,COMPLETED
TRX-KLN-20250815-00263,2025-08-15 17:41:16,12000.0,CASH,COMPLETED
TRX-KLN-20250815-00264,2025-08-15 20:06:17,14000.0,EWALLET,COMPLETED
TRX-KLN-20250815-00265,2025-08-15 17:48:07,83000.0,CASH,COMPLETED
TRX-KLN-20250815-00266,2025-08-15 19:09:44,6000.0,CASH,COMPLETED
TRX-KLN-20250815-00267,2025-08-15 19:57:59,17000.0,CASH,COMPLETED
TRX-KLN-20250815-00268,2025-08-15 17:21:52,86000.0,QRIS,COMPLETED
TRX-KLN-20250815-00269,2025-08-15 18:28:34,51000.0,CASH,COMPLETED
TRX-KLN-20250815-00270,2025-08-15 15:36:36,43500.0,CASH,COMPLETED
TRX-KLN-20250815-00271,2025-08-15 19:41:22,16000.0,CASH,COMPLETED
TRX-KLN-20250815-00272,2025-08-15 12:48:18,39000.0,CASH,COMPLETED
TRX-KLN-20250815-00273,2025-08-15 17:32:21,3000.0,CASH,COMPLETED
TRX-KLN-20250815-00274,2025-08-15 19:29:04,23000.0,CASH,COMPLETED
TRX-KLN-20250815-00275,2025-08-15 18:08:00,32000.0,CASH,COMPLETED
TRX-KLN-20250815-00276,2025-08-15 16:13:49,4000.0,CASH,COMPLETED
TRX-KLN-20250815-00277,2025-08-15 14:31:29,44000.0,CASH,COMPLETED
TRX-KLN-20250816-00278,2025-08-16 09:55:24,36000.0,CASH,COMPLETED
TRX-KLN-20250816-00279,2025-08-16 20:55:58,21000.0,EWALLET,COMPLETED
TRX-KLN-20250816-00280,2025-08-16 11:20:55,8000.0,CASH,COMPLETED
TRX-KLN-20250816-00281,2025-08-16 14:25:25,35000.0,CASH,COMPLETED
TRX-KLN-20250816-00282,2025-08-16 10:14:05,42000.0,CASH,COMPLETED
TRX-KLN-20250816-00283,2025-08-16 19:31:30,58000.0,CASH,COMPLETED
TRX-KLN-20250816-00284,2025-08-16 11:52:02,10000.0,CASH,COMPLETED
TRX-KLN-20250816-00285,2025-08-16 18:19:53,4000.0,TRANSFER,COMPLETED
TRX-KLN-20250816-00286,2025-08-16 15:48:13,99500.0,CASH,COMPLETED
TRX-KLN-20250816-00287,2025-08-16 08:50:20,54000.0,CASH,COMPLETED
TRX-KLN-20250816-00288,2025-08-16 07:46:45,30000.0,CASH,COMPLETED
TRX-KLN-20250816-00289,2025-08-16 08:43:43,22000.0,TRANSFER,COMPLETED
TRX-KLN-20250816-00290,2025-08-16 16:21:34,7000.0,CASH,COMPLETED
TRX-KLN-20250816-00291,2025-08-16 07:45:23,42000.0,CASH,COMPLETED
TRX-KLN-20250816-00292,2025-08-16 11:01:20,19000.0,CASH,COMPLETED
TRX-KLN-20250817-00293,2025-08-17 14:19:52,8000.0,CASH,COMPLETED
TRX-KLN-20250817-00294,2025-08-17 17:13:54,9500.0,CASH,COMPLETED
TRX-KLN-20250817-00295,2025-08-17 09:45:21,60000.0,CASH,COMPLETED
TRX-KLN-20250817-00296,2025-08-17 18:13:00,18000.0,CASH,COMPLETED
TRX-KLN-20250817-00297,2025-08-17 09:51:28,9300.0,CASH,COMPLETED
TRX-KLN-20250817-00298,2025-08-17 18:18:31,28000.0,CASH,COMPLETED
TRX-KLN-20250817-00299,2025-08-17 11:59:51,17500.0,QRIS,COMPLETED
TRX-KLN-20250817-00300,2025-08-17 19:38:57,92000.0,QRIS,COMPLETED
TRX-KLN-20250817-00301,2025-08-17 08:12:44,148500.0,CASH,COMPLETED
TRX-KLN-20250818-00302,2025-08-18 07:31:33,68000.0,QRIS,COMPLETED
TRX-KLN-20250818-00303,2025-08-18 19:30:25,8000.0,CASH,COMPLETED
TRX-KLN-20250818-00304,2025-08-18 18:45:11,84500.0,CASH,COMPLETED
TRX-KLN-20250818-00305,2025-08-18 17:12:01,74000.0,CASH,COMPLETED
TRX-KLN-20250818-00306,2025-08-18 09:17:52,58000.0,CASH,COMPLETED
TRX-KLN-20250818-00307,2025-08-18 13:35:49,12500.0,CASH,COMPLETED
TRX-KLN-20250818-00308,2025-08-18 17:31:10,6000.0,CASH,COMPLETED
TRX-KLN-20250818-00309,2025-08-18 20:09:57,38000.0,CASH,COMPLETED
TRX-KLN-20250818-00310,2025-08-18 17:22:42,137000.0,EWALLET,COMPLETED
TRX-KLN-20250818-00311,2025-08-18 17:34:49,21000.0,CASH,COMPLETED
TRX-KLN-20250818-00312,2025-08-18 07:28:30,18500.0,EWALLET,COMPLETED
TRX-KLN-20250818-00313,2025-08-18 14:31:01,163000.0,EWALLET,COMPLETED
