batch_code,product_code,quantity,purchase_date,expiry_date,purchase_cost,status
B-MIE01-0083,MIE01,201,2025-08-28,2026-04-25,522600.0,ACTIVE
B-MIE02-0084,MIE02,122,2025-08-28,2026-04-25,305000.0,ACTIVE
B-MIE03-0085,MIE03,78,2025-08-28,2026-04-25,195000.0,ACTIVE
B-MNM01-0086,MNM01,146,2025-08-28,2026-08-28,438000.0,ACTIVE
B-MNM02-0087,MNM02,62,2025-08-28,2026-02-24,192200.0,ACTIVE
B-MNM03-0088,MNM03,126,2025-08-28,2026-08-28,151200.0,ACTIVE
B-MNM04-0089,MNM04,63,2025-08-28,2026-08-28,189000.0,ACTIVE
B-RKK01-0090,RKK01,86,2025-08-28,,2709000.0,ACTIVE
B-RKK02-0091,RKK02,51,2025-08-28,,1173000.0,ACTIVE
B-SNK01-0092,SNK01,32,2025-08-28,2025-12-26,217600.0,ACTIVE
B-SNK02-0093,SNK02,23,2025-08-28,2026-02-24,172500.0,ACTIVE
B-SNK03-0094,SNK03,27,2025-08-28,2026-02-24,140400.0,ACTIVE
B-BMB01-0095,BMB01,32,2025-08-28,2026-08-28,144000.0,ACTIVE
B-KRT01-0096,KRT01,26,2025-08-28,,429000.0,ACTIVE
B-KRT02-0097,KRT02,32,2025-08-28,,384000.0,ACTIVE
B-ROTI01-0098,ROTI01,25,2025-08-28,2025-09-02,325000.0,ACTIVE
B-ROTI02-0099,ROTI02,47,2025-08-28,2025-09-27,258500.0,ACTIVE
B-GAS01-0100,GAS01,19,2025-08-28,,351500.0,ACTIVE
B-BRS01-0101,BRS01,28,2025-09-07,2026-03-06,1736000.0,ACTIVE
B-BRS02-0102,BRS02,34,2025-09-07,2026-03-06,1836000.0,ACTIVE
B-GLA01-0103,GLA01,55,2025-09-07,,770000.0,ACTIVE
B-MYK01-0104,MYK01,47,2025-09-07,2026-09-07,775500.0,ACTIVE
B-MYK02-0105,MYK02,55,2025-09-07,2026-09-07,742500.0,ACTIVE
B-TLR01-0106,TLR01,30,2025-09-07,2025-09-21,780000.0,ACTIVE
B-TPG01-0107,TPG01,17,2025-09-07,2026-09-07,178500.0,ACTIVE
B-MIE01-0108,MIE01,162,2025-09-07,2026-05-05,421200.0,ACTIVE
B-MIE02-0109,MIE02,89,2025-09-07,2026-05-05,222500.0,ACTIVE
B-MIE03-0110,MIE03,86,2025-09-07,2026-05-05,215000.0,ACTIVE
B-MNM01-0111,MNM01,113,2025-09-07,2026-09-07,339000.0,ACTIVE
B-MNM02-0112,MNM02,87,2025-09-07,2026-03-06,269700.0,ACTIVE
B-MNM03-0113,MNM03,99,2025-09-07,2026-09-07,118800.0,ACTIVE
B-MNM04-0114,MNM04,74,2025-09-07,2026-09-07,222000.0,ACTIVE
B-RKK01-0115,RKK01,101,2025-09-07,,3181500.0,ACTIVE
B-RKK02-0116,RKK02,76,2025-09-07,,1748000.0,ACTIVE
B-SNK01-0117,SNK01,37,2025-09-07,2026-01-05,251600.0,ACTIVE
B-SNK02-0118,SNK02,26,2025-09-07,2026-03-06,195000.0,ACTIVE
B-SNK03-0119,SNK03,24,2025-09-07,2026-03-06,124800.0,ACTIVE
B-BMB01-0120,BMB01,43,2025-09-07,2026-09-07,193500.0,ACTIVE
B-KRT01-0121,KRT01,25,2025-09-07,,412500.0,ACTIVE
B-KRT02-0122,KRT02,29,2025-09-07,,348000.0,ACTIVE
B-ROTI01-0123,ROTI01,26,2025-09-07,2025-09-12,338000.0,ACTIVE
B-ROTI02-0124,ROTI02,30,2025-09-07,2025-10-07,165000.0,ACTIVE
B-GAS01-0125,GAS01,12,2025-09-07,,222000.0,ACTIVE
B-BRS01-0126,BRS01,28,2025-09-14,2026-03-13,1736000.0,ACTIVE
B-BRS02-0127,BRS02,30,2025-09-14,2026-03-13,1620000.0,ACTIVE
B-GLA01-0128,GLA01,40,2025-09-14,,560000.0,ACTIVE
B-MYK01-0129,MYK01,34,2025-09-14,2026-09-14,561000.0,ACTIVE
B-MYK02-0130,MYK02,40,2025-09-14,2026-09-14,540000.0,ACTIVE
B-TLR01-0131,TLR01,26,2025-09-14,2025-09-28,676000.0,ACTIVE
B-TPG01-0132,TPG01,16,2025-09-14,2026-09-14,168000.0,ACTIVE
B-MIE01-0133,MIE01,120,2025-09-14,2026-05-12,312000.0,ACTIVE
B-MIE02-0134,MIE02,108,2025-09-14,2026-05-12,270000.0,ACTIVE
B-MIE03-0135,MIE03,64,2025-09-14,2026-05-12,160000.0,ACTIVE
B-MNM01-0136,MNM01,123,2025-09-14,2026-09-14,369000.0,ACTIVE
B-MNM02-0137,MNM02,95,2025-09-14,2026-03-13,294500.0,ACTIVE
B-MNM03-0138,MNM03,128,2025-09-14,2026-09-14,153600.0,ACTIVE
B-MNM04-0139,MNM04,55,2025-09-14,2026-09-14,165000.0,ACTIVE
B-RKK01-0140,RKK01,98,2025-09-14,,3087000.0,ACTIVE
B-RKK02-0141,RKK02,57,2025-09-14,,1311000.0,ACTIVE
B-SNK01-0142,SNK01,30,2025-09-14,2026-01-12,204000.0,ACTIVE
B-SNK02-0143,SNK02,23,2025-09-14,2026-03-13,172500.0,ACTIVE
B-SNK03-0144,SNK03,31,2025-09-14,2026-03-13,161200.0,ACTIVE
B-BMB01-0145,BMB01,43,2025-09-14,2026-09-14,193500.0,ACTIVE
B-KRT01-0146,KRT01,27,2025-09-14,,445500.0,ACTIVE
B-KRT02-0147,KRT02,24,2025-09-14,,288000.0,ACTIVE
B-ROTI01-0148,ROTI01,26,2025-09-14,2025-09-19,338000.0,ACTIVE
B-ROTI02-0149,ROTI02,43,2025-09-14,2025-10-14,236500.0,ACTIVE
B-GAS01-0150,GAS01,16,2025-09-14,,296000.0,ACTIVE
B-BRS01-0151,BRS01,23,2025-09-21,2026-03-20,1426000.0,ACTIVE
B-BRS02-0152,BRS02,47,2025-09-21,2026-03-20,2538000.0,ACTIVE
B-GLA01-0153,GLA01,55,2025-09-21,,770000.0,ACTIVE
B-MYK01-0154,MYK01,52,2025-09-21,2026-09-21,858000.0,ACTIVE
B-MYK02-0155,MYK02,45,2025-09-21,2026-09-21,607500.0,ACTIVE
B-TLR01-0156,TLR01,28,2025-09-21,2025-10-05,728000.0,ACTIVE
B-TPG01-0157,TPG01,21,2025-09-21,2026-09-21,220500.0,ACTIVE
B-MIE01-0158,MIE01,177,2025-09-21,2026-05-19,460200.0,ACTIVE
B-MIE02-0159,MIE02,110,2025-09-21,2026-05-19,275000.0,ACTIVE
B-MIE03-0160,MIE03,68,2025-09-21,2026-05-19,170000.0,ACTIVE
B-MNM01-0161,MNM01,116,2025-09-21,2026-09-21,348000.0,ACTIVE
B-MNM02-0162,MNM02,88,2025-09-21,2026-03-20,272800.0,ACTIVE
B-MNM03-0163,MNM03,113,2025-09-21,2026-09-21,135600.0,ACTIVE
B-MNM04-0164,MNM04,64,2025-09-21,2026-09-21,192000.0,ACTIVE
B-RKK01-0165,RKK01,66,2025-09-21,,2079000.0,ACTIVE
B-RKK02-0166,RKK02,73,2025-09-21,,1679000.0,ACTIVE
B-SNK01-0167,SNK01,35,2025-09-21,2026-01-19,238000.0,ACTIVE
B-SNK02-0168,SNK02,16,2025-09-21,2026-03-20,120000.0,ACTIVE
B-SNK03-0169,SNK03,32,2025-09-21,2026-03-20,166400.0,ACTIVE
B-BMB01-0170,BMB01,44,2025-09-21,2026-09-21,198000.0,ACTIVE
B-KRT01-0171,KRT01,24,2025-09-21,,396000.0,ACTIVE
B-KRT02-0172,KRT02,28,2025-09-21,,336000.0,ACTIVE
B-ROTI01-0173,ROTI01,16,2025-09-21,2025-09-26,208000.0,ACTIVE
B-ROTI02-0174,ROTI02,35,2025-09-21,2025-10-21,192500.0,ACTIVE
B-GAS01-0175,GAS01,17,2025-09-21,,314500.0,ACTIVE
B-BRS01-0176,BRS01,27,2025-09-28,2026-03-27,1674000.0,ACTIVE
B-BRS02-0177,BRS02,34,2025-09-28,2026-03-27,1836000.0,ACTIVE
B-GLA01-0178,GLA01,65,2025-09-28,,910000.0,ACTIVE
B-MYK01-0179,MYK01,46,2025-09-28,2026-09-28,759000.0,ACTIVE
B-MYK02-0180,MYK02,48,2025-09-28,2026-09-28,648000.0,ACTIVE
B-TLR01-0181,TLR01,37,2025-09-28,2025-10-12,962000.0,ACTIVE
B-TPG01-0182,TPG01,19,2025-09-28,2026-09-28,199500.0,ACTIVE
B-MIE01-0183,MIE01,181,2025-09-28,2026-05-26,470600.0,ACTIVE
B-MIE02-0184,MIE02,115,2025-09-28,2026-05-26,287500.0,ACTIVE
B-MIE03-0185,MIE03,88,2025-09-28,2026-05-26,220000.0,ACTIVE
B-MNM01-0186,MNM01,167,2025-09-28,2026-09-28,501000.0,ACTIVE
B-MNM02-0187,MNM02,64,2025-09-28,2026-03-27,198400.0,ACTIVE
B-MNM03-0188,MNM03,105,2025-09-28,2026-09-28,126000.0,ACTIVE
B-MNM04-0189,MNM04,61,2025-09-28,2026-09-28,183000.0,ACTIVE
B-RKK01-0190,RKK01,83,2025-09-28,,2614500.0,ACTIVE
B-RKK02-0191,RKK02,76,2025-09-28,,1748000.0,ACTIVE
B-SNK01-0192,SNK01,40,2025-09-28,2026-01-26,272000.0,ACTIVE
B-SNK02-0193,SNK02,27,2025-09-28,2026-03-27,202500.0,ACTIVE
B-SNK03-0194,SNK03,23,2025-09-28,2026-03-27,119600.0,ACTIVE
B-BMB01-0195,BMB01,44,2025-09-28,2026-09-28,198000.0,ACTIVE
B-KRT01-0196,KRT01,26,2025-09-28,,429000.0,ACTIVE
B-KRT02-0197,KRT02,21,2025-09-28,,252000.0,ACTIVE
B-ROTI01-0198,ROTI01,26,2025-09-28,2025-10-03,338000.0,ACTIVE
B-ROTI02-0199,ROTI02,46,2025-09-28,2025-10-28,253000.0,ACTIVE
B-GAS01-0200,GAS01,20,2025-09-28,,370000.0,ACTIVE
B-BRS01-0201,BRS01,20,2025-10-07,2026-04-05,1240000.0,ACTIVE
B-BRS02-0202,BRS02,32,2025-10-07,2026-04-05,1728000.0,ACTIVE
B-GLA01-0203,GLA01,42,2025-10-07,,588000.0,ACTIVE
B-MYK01-0204,MYK01,34,2025-10-07,2026-10-07,561000.0,ACTIVE
B-MYK02-0205,MYK02,46,2025-10-07,2026-10-07,621000.0,ACTIVE
B-TLR01-0206,TLR01,36,2025-10-07,2025-10-21,936000.0,ACTIVE
B-TPG01-0207,TPG01,21,2025-10-07,2026-10-07,220500.0,ACTIVE
B-MIE01-0208,MIE01,152,2025-10-07,2026-06-04,395200.0,ACTIVE
B-MIE02-0209,MIE02,98,2025-10-07,2026-06-04,245000.0,ACTIVE
B-MIE03-0210,MIE03,80,2025-10-07,2026-06-04,200000.0,ACTIVE
B-MNM01-0211,MNM01,105,2025-10-07,2026-10-07,315000.0,ACTIVE
B-MNM02-0212,MNM02,72,2025-10-07,2026-04-05,223200.0,ACTIVE
B-MNM03-0213,MNM03,126,2025-10-07,2026-10-07,151200.0,ACTIVE
B-MNM04-0214,MNM04,59,2025-10-07,2026-10-07,177000.0,ACTIVE
B-RKK01-0215,RKK01,86,2025-10-07,,2709000.0,ACTIVE
B-RKK02-0216,RKK02,71,2025-10-07,,1633000.0,ACTIVE
B-SNK01-0217,SNK01,29,2025-10-07,2026-02-04,197200.0,ACTIVE
B-SNK02-0218,SNK02,19,2025-10-07,2026-04-05,142500.0,ACTIVE
B-SNK03-0219,SNK03,27,2025-10-07,2026-04-05,140400.0,ACTIVE
B-BMB01-0220,BMB01,36,2025-10-07,2026-10-07,162000.0,ACTIVE
B-KRT01-0221,KRT01,18,2025-10-07,,297000.0,ACTIVE
B-KRT02-0222,KRT02,23,2025-10-07,,276000.0,ACTIVE
B-ROTI01-0223,ROTI01,26,2025-10-07,2025-10-12,338000.0,ACTIVE
B-ROTI02-0224,ROTI02,45,2025-10-07,2025-11-06,247500.0,ACTIVE
B-GAS01-0225,GAS01,18,2025-10-07,,333000.0,ACTIVE
B-BRS01-0226,BRS01,20,2025-10-14,2026-04-12,1240000.0,ACTIVE
B-BRS02-0227,BRS02,48,2025-10-14,2026-04-12,2592000.0,ACTIVE
B-GLA01-0228,GLA01,47,2025-10-14,,658000.0,ACTIVE
B-MYK01-0229,MYK01,37,2025-10-14,2026-10-14,610500.0,ACTIVE
B-MYK02-0230,MYK02,49,2025-10-14,2026-10-14,661500.0,ACTIVE
B-TLR01-0231,TLR01,33,2025-10-14,2025-10-28,858000.0,ACTIVE
B-TPG01-0232,TPG01,15,2025-10-14,2026-10-14,157500.0,ACTIVE
B-MIE01-0233,MIE01,167,2025-10-14,2026-06-11,434200.0,ACTIVE
B-MIE02-0234,MIE02,116,2025-10-14,2026-06-11,290000.0,ACTIVE
B-MIE03-0235,MIE03,81,2025-10-14,2026-06-11,202500.0,ACTIVE
B-MNM01-0236,MNM01,140,2025-10-14,2026-10-14,420000.0,ACTIVE
B-MNM02-0237,MNM02,71,2025-10-14,2026-04-12,220100.0,ACTIVE
B-MNM03-0238,MNM03,101,2025-10-14,2026-10-14,121200.0,ACTIVE
B-MNM04-0239,MNM04,49,2025-10-14,2026-10-14,147000.0,ACTIVE
B-RKK01-0240,RKK01,79,2025-10-14,,2488500.0,ACTIVE
B-RKK02-0241,RKK02,62,2025-10-14,,1426000.0,ACTIVE
B-SNK01-0242,SNK01,26,2025-10-14,2026-02-11,176800.0,ACTIVE
B-SNK02-0243,SNK02,25,2025-10-14,2026-04-12,187500.0,ACTIVE
B-SNK03-0244,SNK03,20,2025-10-14,2026-04-12,104000.0,ACTIVE
B-BMB01-0245,BMB01,35,2025-10-14,2026-10-14,157500.0,ACTIVE
B-KRT01-0246,KRT01,21,2025-10-14,,346500.0,ACTIVE
B-KRT02-0247,KRT02,22,2025-10-14,,264000.0,ACTIVE
B-ROTI01-0248,ROTI01,23,2025-10-14,2025-10-19,299000.0,ACTIVE
B-ROTI02-0249,ROTI02,45,2025-10-14,2025-11-13,247500.0,ACTIVE
B-GAS01-0250,GAS01,18,2025-10-14,,333000.0,ACTIVE
B-BRS01-0251,BRS01,27,2025-10-21,2026-04-19,1674000.0,ACTIVE
B-BRS02-0252,BRS02,46,2025-10-21,2026-04-19,2484000.0,ACTIVE
B-GLA01-0253,GLA01,42,2025-10-21,,588000.0,ACTIVE
B-MYK01-0254,MYK01,34,2025-10-21,2026-10-21,561000.0,ACTIVE
B-MYK02-0255,MYK02,41,2025-10-21,2026-10-21,553500.0,ACTIVE
B-TLR01-0256,TLR01,27,2025-10-21,2025-11-04,702000.0,ACTIVE
B-TPG01-0257,TPG01,19,2025-10-21,2026-10-21,199500.0,ACTIVE
B-MIE01-0258,MIE01,145,2025-10-21,2026-06-18,377000.0,ACTIVE
B-MIE02-0259,MIE02,119,2025-10-21,2026-06-18,297500.0,ACTIVE
B-MIE03-0260,MIE03,76,2025-10-21,2026-06-18,190000.0,ACTIVE
B-MNM01-0261,MNM01,114,2025-10-21,2026-10-21,342000.0,ACTIVE
B-MNM02-0262,MNM02,66,2025-10-21,2026-04-19,204600.0,ACTIVE
B-MNM03-0263,MNM03,117,2025-10-21,2026-10-21,140400.0,ACTIVE
B-MNM04-0264,MNM04,57,2025-10-21,2026-10-21,171000.0,ACTIVE
B-RKK01-0265,RKK01,73,2025-10-21,,2299500.0,ACTIVE
B-RKK02-0266,RKK02,54,2025-10-21,,1242000.0,ACTIVE
B-SNK01-0267,SNK01,41,2025-10-21,2026-02-18,278800.0,ACTIVE
B-SNK02-0268,SNK02,20,2025-10-21,2026-04-19,150000.0,ACTIVE
B-SNK03-0269,SNK03,26,2025-10-21,2026-04-19,135200.0,ACTIVE
B-BMB01-0270,BMB01,43,2025-10-21,2026-10-21,193500.0,ACTIVE
B-KRT01-0271,KRT01,20,2025-10-21,,330000.0,ACTIVE
B-KRT02-0272,KRT02,34,2025-10-21,,408000.0,ACTIVE
B-ROTI01-0273,ROTI01,25,2025-10-21,2025-10-26,325000.0,ACTIVE
B-ROTI02-0274,ROTI02,40,2025-10-21,2025-11-20,220000.0,ACTIVE
B-GAS01-0275,GAS01,20,2025-10-21,,370000.0,ACTIVE
B-BRS01-0276,BRS01,22,2025-10-28,2026-04-26,1364000.0,ACTIVE
B-BRS02-0277,BRS02,45,2025-10-28,2026-04-26,2430000.0,ACTIVE
B-GLA01-0278,GLA01,56,2025-10-28,,784000.0,ACTIVE
B-MYK01-0279,MYK01,44,2025-10-28,2026-10-28,726000.0,ACTIVE
B-MYK02-0280,MYK02,44,2025-10-28,2026-10-28,594000.0,ACTIVE
B-TLR01-0281,TLR01,34,2025-10-28,2025-11-11,884000.0,ACTIVE
B-TPG01-0282,TPG01,20,2025-10-28,2026-10-28,210000.0,ACTIVE
B-MIE01-0283,MIE01,157,2025-10-28,2026-06-25,408200.0,ACTIVE
B-MIE02-0284,MIE02,116,2025-10-28,2026-06-25,290000.0,ACTIVE
B-MIE03-0285,MIE03,84,2025-10-28,2026-06-25,210000.0,ACTIVE
B-MNM01-0286,MNM01,164,2025-10-28,2026-10-28,492000.0,ACTIVE
B-MNM02-0287,MNM02,91,2025-10-28,2026-04-26,282100.0,ACTIVE
B-MNM03-0288,MNM03,116,2025-10-28,2026-10-28,139200.0,ACTIVE
B-MNM04-0289,MNM04,70,2025-10-28,2026-10-28,210000.0,ACTIVE
B-RKK01-0290,RKK01,100,2025-10-28,,3150000.0,ACTIVE
B-RKK02-0291,RKK02,49,2025-10-28,,1127000.0,ACTIVE
B-SNK01-0292,SNK01,29,2025-10-28,2026-02-25,197200.0,ACTIVE
B-SNK02-0293,SNK02,26,2025-10-28,2026-04-26,195000.0,ACTIVE
B-SNK03-0294,SNK03,23,2025-10-28,2026-04-26,119600.0,ACTIVE
B-BMB01-0295,BMB01,36,2025-10-28,2026-10-28,162000.0,ACTIVE
B-KRT01-0296,KRT01,17,2025-10-28,,280500.0,ACTIVE
B-KRT02-0297,KRT02,31,2025-10-28,,372000.0,ACTIVE
B-ROTI01-0298,ROTI01,19,2025-10-28,2025-11-02,247000.0,ACTIVE
B-ROTI02-0299,ROTI02,32,2025-10-28,2025-11-27,176000.0,ACTIVE
B-GAS01-0300,GAS01,18,2025-10-28,,333000.0,ACTIVE
B-BRS01-0301,BRS01,26,2025-11-07,2026-05-06,1612000.0,ACTIVE
B-BRS02-0302,BRS02,35,2025-11-07,2026-05-06,1890000.0,ACTIVE
B-GLA01-0303,GLA01,50,2025-11-07,,700000.0,ACTIVE
B-MYK01-0304,MYK01,32,2025-11-07,2026-11-07,528000.0,ACTIVE
B-MYK02-0305,MYK02,59,2025-11-07,2026-11-07,796500.0,ACTIVE
B-TLR01-0306,TLR01,31,2025-11-07,2025-11-21,806000.0,ACTIVE
B-TPG01-0307,TPG01,21,2025-11-07,2026-11-07,220500.0,ACTIVE
B-MIE01-0308,MIE01,194,2025-11-07,2026-07-05,504400.0,ACTIVE
B-MIE02-0309,MIE02,135,2025-11-07,2026-07-05,337500.0,ACTIVE
B-MIE03-0310,MIE03,111,2025-11-07,2026-07-05,277500.0,ACTIVE
B-MNM01-0311,MNM01,154,2025-11-07,2026-11-07,462000.0,ACTIVE
B-MNM02-0312,MNM02,61,2025-11-07,2026-05-06,189100.0,ACTIVE
B-MNM03-0313,MNM03,131,2025-11-07,2026-11-07,157200.0,ACTIVE
B-MNM04-0314,MNM04,83,2025-11-07,2026-11-07,249000.0,ACTIVE
B-RKK01-0315,RKK01,64,2025-11-07,,2016000.0,ACTIVE
B-RKK02-0316,RKK02,66,2025-11-07,,1518000.0,ACTIVE
B-SNK01-0317,SNK01,24,2025-11-07,2026-03-07,163200.0,ACTIVE
B-SNK02-0318,SNK02,16,2025-11-07,2026-05-06,120000.0,ACTIVE
B-SNK03-0319,SNK03,24,2025-11-07,2026-05-06,124800.0,ACTIVE
B-BMB01-0320,BMB01,49,2025-11-07,2026-11-07,220500.0,ACTIVE
B-KRT01-0321,KRT01,23,2025-11-07,,379500.0,ACTIVE
B-KRT02-0322,KRT02,25,2025-11-07,,300000.0,ACTIVE
B-ROTI01-0323,ROTI01,18,2025-11-07,2025-11-12,234000.0,ACTIVE
B-ROTI02-0324,ROTI02,41,2025-11-07,2025-12-07,225500.0,ACTIVE
B-GAS01-0325,GAS01,14,2025-11-07,,259000.0,ACTIVE
B-BRS01-0326,BRS01,33,2025-11-14,2026-05-13,2046000.0,ACTIVE
B-BRS02-0327,BRS02,40,2025-11-14,2026-05-13,2160000.0,ACTIVE
B-GLA01-0328,GLA01,58,2025-11-14,,812000.0,ACTIVE
B-MYK01-0329,MYK01,42,2025-11-14,2026-11-14,693000.0,ACTIVE
B-MYK02-0330,MYK02,43,2025-11-14,2026-11-14,580500.0,ACTIVE
B-TLR01-0331,TLR01,30,2025-11-14,2025-11-28,780000.0,ACTIVE
B-TPG01-0332,TPG01,20,2025-11-14,2026-11-14,210000.0,ACTIVE
