transaction_code,product_code,product_name,quantity,price_per_unit,cost_per_unit,subtotal,date
TRX-KLN-20250802-00023,GAS01,Gas LPG 3kg (Melon),2,21000.0,18500.0,42000.0,2025-08-02
TRX-KLN-20250802-00023,KRT01,Rinso Anti Noda 770g,1,19000.0,16500.0,19000.0,2025-08-02
TRX-KLN-20250802-00024,MYK02,Minyak Goreng Kita 1L,1,15000.0,13500.0,15000.0,2025-08-02
TRX-KLN-20250802-00024,TLR01,Telur Ayam Ras 1kg,2,29000.0,26000.0,58000.0,2025-08-02
TRX-KLN-20250802-00024,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-02
TRX-KLN-20250802-00025,TLR01,Telur Ayam Ras 1kg,2,29000.0,26000.0,58000.0,2025-08-02
TRX-KLN-20250802-00026,RKK01,Rokok Sampoerna A Mild 16,3,34500.0,31500.0,103500.0,2025-08-02
TRX-KLN-20250802-00026,MYK01,Minyak Goreng Bimoli 1L,3,18500.0,16500.0,55500.0,2025-08-02
TRX-KLN-20250802-00027,GLA01,Gula Pasir Gulaku 1kg,2,16000.0,14000.0,32000.0,2025-08-02
TRX-KLN-20250802-00028,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-02
TRX-KLN-20250802-00028,BRS01,Beras Premium C4 5kg,2,68000.0,62000.0,136000.0,2025-08-02
TRX-KLN-20250802-00028,MNM02,Teh Pucuk Harum 350ml,3,4000.0,3100.0,12000.0,2025-08-02
TRX-KLN-20250802-00029,MIE02,Indomie Kuah Soto Ayam,2,3000.0,2500.0,6000.0,2025-08-02
TRX-KLN-20250802-00029,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-02
TRX-KLN-20250802-00030,MNM04,Le Minerale 600ml,1,4000.0,3000.0,4000.0,2025-08-02
TRX-KLN-20250802-00031,KRT01,Rinso Anti Noda 770g,1,19000.0,16500.0,19000.0,2025-08-02
TRX-KLN-20250802-00032,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-02
TRX-KLN-20250802-00032,MIE02,Indomie Kuah Soto Ayam,4,3000.0,2500.0,12000.0,2025-08-02
TRX-KLN-20250802-00032,GLA01,Gula Pasir Gulaku 1kg,2,16000.0,14000.0,32000.0,2025-08-02
TRX-KLN-20250802-00033,MYK01,Minyak Goreng Bimoli 1L,3,18500.0,16500.0,55500.0,2025-08-02
TRX-KLN-20250802-00034,ROTI01,Roti Tawar Kupas Sari Roti,1,16000.0,13000.0,16000.0,2025-08-02
TRX-KLN-20250802-00034,BMB01,Masako Rasa Ayam 100g,2,5500.0,4500.0,11000.0,2025-08-02
TRX-KLN-20250802-00035,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-02
TRX-KLN-20250802-00035,MNM02,Teh Pucuk Harum 350ml,2,4000.0,3100.0,8000.0,2025-08-02
TRX-KLN-20250802-00035,SNK01,Chitato Sapi Panggang 68g,2,8500.0,6800.0,17000.0,2025-08-02
TRX-KLN-20250802-00036,BRS01,Beras Premium C4 5kg,2,68000.0,62000.0,136000.0,2025-08-02
TRX-KLN-20250802-00037,MIE03,Mie Sedaap Goreng,2,3000.0,2500.0,6000.0,2025-08-02
TRX-KLN-20250802-00037,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-02
TRX-KLN-20250802-00037,MNM04,Le Minerale 600ml,3,4000.0,3000.0,12000.0,2025-08-02
TRX-KLN-20250802-00038,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-02
TRX-KLN-20250802-00038,BMB01,Masako Rasa Ayam 100g,3,5500.0,4500.0,16500.0,2025-08-02
TRX-KLN-20250802-00038,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-02
TRX-KLN-20250802-00038,BRS02,Beras Medium IR64 5kg,2,60000.0,54000.0,120000.0,2025-08-02
TRX-KLN-20250802-00039,GAS01,Gas LPG 3kg (Melon),2,21000.0,18500.0,42000.0,2025-08-02
TRX-KLN-20250802-00040,ROTI01,Roti Tawar Kupas Sari Roti,2,16000.0,13000.0,32000.0,2025-08-02
TRX-KLN-20250802-00041,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-02
TRX-KLN-20250802-00042,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-02
TRX-KLN-20250802-00043,KRT01,Rinso Anti Noda 770g,2,19000.0,16500.0,38000.0,2025-08-02
TRX-KLN-20250802-00044,MIE01,Indomie Goreng Spesial 85g,2,3100.0,2600.0,6200.0,2025-08-02
TRX-KLN-20250802-00045,MIE01,Indomie Goreng Spesial 85g,2,3100.0,2600.0,6200.0,2025-08-02
TRX-KLN-20250802-00045,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-02
TRX-KLN-20250802-00045,MIE02,Indomie Kuah Soto Ayam,3,3000.0,2500.0,9000.0,2025-08-02
TRX-KLN-20250802-00045,MNM01,Aqua Air Mineral 600ml,4,4000.0,3000.0,16000.0,2025-08-02
TRX-KLN-20250802-00046,MIE03,Mie Sedaap Goreng,1,3000.0,2500.0,3000.0,2025-08-02
TRX-KLN-20250802-00046,TPG01,Tepung Segitiga Biru 1kg,2,12500.0,10500.0,25000.0,2025-08-02
TRX-KLN-20250802-00047,MNM04,Le Minerale 600ml,3,4000.0,3000.0,12000.0,2025-08-02
TRX-KLN-20250802-00047,BRS02,Beras Medium IR64 5kg,1,60000.0,54000.0,60000.0,2025-08-02
TRX-KLN-20250802-00048,MYK01,Minyak Goreng Bimoli 1L,3,18500.0,16500.0,55500.0,2025-08-02
TRX-KLN-20250802-00048,BRS01,Beras Premium C4 5kg,1,68000.0,62000.0,68000.0,2025-08-02
TRX-KLN-20250802-00049,MNM03,Kopi Kapal Api Mix Sachet,4,1500.0,1200.0,6000.0,2025-08-02
TRX-KLN-20250802-00050,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-02
TRX-KLN-20250802-00050,GLA01,Gula Pasir Gulaku 1kg,2,16000.0,14000.0,32000.0,2025-08-02
TRX-KLN-20250802-00050,MYK02,Minyak Goreng Kita 1L,3,15000.0,13500.0,45000.0,2025-08-02
TRX-KLN-20250802-00050,ROTI02,Susu UHT Ultramilk 250ml,2,7000.0,5500.0,14000.0,2025-08-02
TRX-KLN-20250802-00051,MIE03,Mie Sedaap Goreng,2,3000.0,2500.0,6000.0,2025-08-02
TRX-KLN-20250803-00052,BMB01,Masako Rasa Ayam 100g,2,5500.0,4500.0,11000.0,2025-08-03
TRX-KLN-20250803-00052,KRT01,Rinso Anti Noda 770g,2,19000.0,16500.0,38000.0,2025-08-03
TRX-KLN-20250803-00053,SNK02,Oreo Chocolate Cream 133g,1,9500.0,7500.0,9500.0,2025-08-03
TRX-KLN-20250803-00054,BRS01,Beras Premium C4 5kg,1,68000.0,62000.0,68000.0,2025-08-03
TRX-KLN-20250803-00054,MNM02,Teh Pucuk Harum 350ml,2,4000.0,3100.0,8000.0,2025-08-03
TRX-KLN-20250803-00055,MNM01,Aqua Air Mineral 600ml,4,4000.0,3000.0,16000.0,2025-08-03
TRX-KLN-20250803-00056,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-03
TRX-KLN-20250803-00057,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-03
TRX-KLN-20250803-00057,RKK01,Rokok Sampoerna A Mild 16,1,34500.0,31500.0,34500.0,2025-08-03
TRX-KLN-20250803-00057,SNK03,Wafer Tango Cokelat 110g,1,7000.0,5200.0,7000.0,2025-08-03
TRX-KLN-20250803-00058,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-03
TRX-KLN-20250803-00059,ROTI02,Susu UHT Ultramilk 250ml,2,7000.0,5500.0,14000.0,2025-08-03
TRX-KLN-20250803-00059,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-03
TRX-KLN-20250803-00059,RKK02,Rokok Gudang Garam Filter 12,1,25500.0,23000.0,25500.0,2025-08-03
TRX-KLN-20250803-00060,MNM02,Teh Pucuk Harum 350ml,2,4000.0,3100.0,8000.0,2025-08-03
TRX-KLN-20250803-00061,SNK03,Wafer Tango Cokelat 110g,1,7000.0,5200.0,7000.0,2025-08-03
TRX-KLN-20250803-00062,RKK01,Rokok Sampoerna A Mild 16,3,34500.0,31500.0,103500.0,2025-08-03
TRX-KLN-20250803-00062,MIE02,Indomie Kuah Soto Ayam,3,3000.0,2500.0,9000.0,2025-08-03
TRX-KLN-20250803-00062,MYK02,Minyak Goreng Kita 1L,1,15000.0,13500.0,15000.0,2025-08-03
TRX-KLN-20250803-00063,RKK01,Rokok Sampoerna A Mild 16,3,34500.0,31500.0,103500.0,2025-08-03
TRX-KLN-20250803-00064,MYK01,Minyak Goreng Bimoli 1L,3,18500.0,16500.0,55500.0,2025-08-03
TRX-KLN-20250803-00065,KRT02,Sunlight Pencuci Piring 650ml,1,14000.0,12000.0,14000.0,2025-08-03
TRX-KLN-20250803-00065,GAS01,Gas LPG 3kg (Melon),2,21000.0,18500.0,42000.0,2025-08-03
TRX-KLN-20250803-00066,MIE02,Indomie Kuah Soto Ayam,3,3000.0,2500.0,9000.0,2025-08-03
TRX-KLN-20250803-00067,RKK02,Rokok Gudang Garam Filter 12,1,25500.0,23000.0,25500.0,2025-08-03
TRX-KLN-20250803-00067,MNM01,Aqua Air Mineral 600ml,1,4000.0,3000.0,4000.0,2025-08-03
TRX-KLN-20250803-00068,MNM01,Aqua Air Mineral 600ml,2,4000.0,3000.0,8000.0,2025-08-03
TRX-KLN-20250803-00068,BRS01,Beras Premium C4 5kg,2,68000.0,62000.0,136000.0,2025-08-03
TRX-KLN-20250803-00068,GAS01,Gas LPG 3kg (Melon),2,21000.0,18500.0,42000.0,2025-08-03
TRX-KLN-20250803-00069,BRS01,Beras Premium C4 5kg,1,68000.0,62000.0,68000.0,2025-08-03
TRX-KLN-20250803-00069,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-03
TRX-KLN-20250803-00070,ROTI01,Roti Tawar Kupas Sari Roti,1,16000.0,13000.0,16000.0,2025-08-03
TRX-KLN-20250803-00070,MIE03,Mie Sedaap Goreng,3,3000.0,2500.0,9000.0,2025-08-03
TRX-KLN-20250803-00071,MIE02,Indomie Kuah Soto Ayam,4,3000.0,2500.0,12000.0,2025-08-03
TRX-KLN-20250803-00072,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-03
TRX-KLN-20250803-00072,MNM01,Aqua Air Mineral 600ml,3,4000.0,3000.0,12000.0,2025-08-03
TRX-KLN-20250803-00073,BRS02,Beras Medium IR64 5kg,1,60000.0,54000.0,60000.0,2025-08-03
TRX-KLN-20250803-00073,KRT01,Rinso Anti Noda 770g,1,19000.0,16500.0,19000.0,2025-08-03
TRX-KLN-20250803-00073,RKK02,Rokok Gudang Garam Filter 12,2,25500.0,23000.0,51000.0,2025-08-03
TRX-KLN-20250804-00074,SNK01,Chitato Sapi Panggang 68g,2,8500.0,6800.0,17000.0,2025-08-04
TRX-KLN-20250804-00075,ROTI02,Susu UHT Ultramilk 250ml,2,7000.0,5500.0,14000.0,2025-08-04
TRX-KLN-20250804-00076,BMB01,Masako Rasa Ayam 100g,2,5500.0,4500.0,11000.0,2025-08-04
TRX-KLN-20250804-00076,MNM01,Aqua Air Mineral 600ml,3,4000.0,3000.0,12000.0,2025-08-04
TRX-KLN-20250804-00076,RKK02,Rokok Gudang Garam Filter 12,1,25500.0,23000.0,25500.0,2025-08-04
TRX-KLN-20250804-00076,KRT02,Sunlight Pencuci Piring 650ml,1,14000.0,12000.0,14000.0,2025-08-04
TRX-KLN-20250804-00077,SNK01,Chitato Sapi Panggang 68g,2,8500.0,6800.0,17000.0,2025-08-04
TRX-KLN-20250804-00078,MNM04,Le Minerale 600ml,3,4000.0,3000.0,12000.0,2025-08-04
TRX-KLN-20250804-00079,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-04
TRX-KLN-20250804-00079,ROTI01,Roti Tawar Kupas Sari Roti,2,16000.0,13000.0,32000.0,2025-08-04
TRX-KLN-20250804-00079,RKK02,Rokok Gudang Garam Filter 12,2,25500.0,23000.0,51000.0,2025-08-04
TRX-KLN-20250804-00080,MYK02,Minyak Goreng Kita 1L,3,15000.0,13500.0,45000.0,2025-08-04
TRX-KLN-20250804-00080,BMB01,Masako Rasa Ayam 100g,3,5500.0,4500.0,16500.0,2025-08-04
TRX-KLN-20250804-00081,KRT02,Sunlight Pencuci Piring 650ml,1,14000.0,12000.0,14000.0,2025-08-04
TRX-KLN-20250804-00081,SNK03,Wafer Tango Cokelat 110g,2,7000.0,5200.0,14000.0,2025-08-04
TRX-KLN-20250804-00081,BRS02,Beras Medium IR64 5kg,2,60000.0,54000.0,120000.0,2025-08-04
TRX-KLN-20250804-00082,MYK02,Minyak Goreng Kita 1L,1,15000.0,13500.0,15000.0,2025-08-04
TRX-KLN-20250804-00082,RKK01,Rokok Sampoerna A Mild 16,1,34500.0,31500.0,34500.0,2025-08-04
TRX-KLN-20250804-00083,BMB01,Masako Rasa Ayam 100g,2,5500.0,4500.0,11000.0,2025-08-04
TRX-KLN-20250804-00084,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-04
TRX-KLN-20250804-00084,GLA01,Gula Pasir Gulaku 1kg,3,16000.0,14000.0,48000.0,2025-08-04
TRX-KLN-20250804-00085,BRS02,Beras Medium IR64 5kg,1,60000.0,54000.0,60000.0,2025-08-04
TRX-KLN-20250804-00085,RKK02,Rokok Gudang Garam Filter 12,1,25500.0,23000.0,25500.0,2025-08-04
TRX-KLN-20250804-00086,MNM01,Aqua Air Mineral 600ml,2,4000.0,3000.0,8000.0,2025-08-04
TRX-KLN-20250804-00086,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-04
TRX-KLN-20250804-00086,BRS01,Beras Premium C4 5kg,1,68000.0,62000.0,68000.0,2025-08-04
TRX-KLN-20250804-00087,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-04
TRX-KLN-20250804-00088,RKK01,Rokok Sampoerna A Mild 16,3,34500.0,31500.0,103500.0,2025-08-04
TRX-KLN-20250804-00088,MNM02,Teh Pucuk Harum 350ml,1,4000.0,3100.0,4000.0,2025-08-04
TRX-KLN-20250804-00089,BMB01,Masako Rasa Ayam 100g,1,5500.0,4500.0,5500.0,2025-08-04
TRX-KLN-20250804-00089,RKK02,Rokok Gudang Garam Filter 12,3,25500.0,23000.0,76500.0,2025-08-04
TRX-KLN-20250804-00089,GLA01,Gula Pasir Gulaku 1kg,1,16000.0,14000.0,16000.0,2025-08-04
TRX-KLN-20250804-00090,MYK01,Minyak Goreng Bimoli 1L,1,18500.0,16500.0,18500.0,2025-08-04
TRX-KLN-20250804-00090,TLR01,Telur Ayam Ras 1kg,2,29000.0,26000.0,58000.0,2025-08-04
TRX-KLN-20250804-00091,KRT01,Rinso Anti Noda 770g,2,19000.0,16500.0,38000.0,2025-08-04
TRX-KLN-20250804-00091,MIE02,Indomie Kuah Soto Ayam,4,3000.0,2500.0,12000.0,2025-08-04
TRX-KLN-20250804-00091,MIE03,Mie Sedaap Goreng,1,3000.0,2500.0,3000.0,2025-08-04
TRX-KLN-20250804-00092,MYK02,Minyak Goreng Kita 1L,1,15000.0,13500.0,15000.0,2025-08-04
TRX-KLN-20250804-00092,MYK01,Minyak Goreng Bimoli 1L,3,18500.0,16500.0,55500.0,2025-08-04
TRX-KLN-20250804-00093,ROTI01,Roti Tawar Kupas Sari Roti,2,16000.0,13000.0,32000.0,2025-08-04
TRX-KLN-20250804-00093,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-04
TRX-KLN-20250805-00094,SNK01,Chitato Sapi Panggang 68g,2,8500.0,6800.0,17000.0,2025-08-05
TRX-KLN-20250805-00094,MYK01,Minyak Goreng Bimoli 1L,1,18500.0,16500.0,18500.0,2025-08-05
TRX-KLN-20250805-00094,MIE02,Indomie Kuah Soto Ayam,1,3000.0,2500.0,3000.0,2025-08-05
TRX-KLN-20250805-00095,KRT01,Rinso Anti Noda 770g,2,19000.0,16500.0,38000.0,2025-08-05
TRX-KLN-20250805-00096,MYK01,Minyak Goreng Bimoli 1L,2,18500.0,16500.0,37000.0,2025-08-05
TRX-KLN-20250805-00097,GLA01,Gula Pasir Gulaku 1kg,3,16000.0,14000.0,48000.0,2025-08-05
TRX-KLN-20250805-00097,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-05
TRX-KLN-20250805-00098,RKK02,Rokok Gudang Garam Filter 12,1,25500.0,23000.0,25500.0,2025-08-05
TRX-KLN-20250805-00099,MNM01,Aqua Air Mineral 600ml,1,4000.0,3000.0,4000.0,2025-08-05
TRX-KLN-20250805-00099,MNM04,Le Minerale 600ml,2,4000.0,3000.0,8000.0,2025-08-05
TRX-KLN-20250805-00100,SNK03,Wafer Tango Cokelat 110g,2,7000.0,5200.0,14000.0,2025-08-05
TRX-KLN-20250805-00100,MNM03,Kopi Kapal Api Mix Sachet,1,1500.0,1200.0,1500.0,2025-08-05
TRX-KLN-20250805-00101,MYK02,Minyak Goreng Kita 1L,1,15000.0,13500.0,15000.0,2025-08-05
TRX-KLN-20250805-00101,MIE03,Mie Sedaap Goreng,3,3000.0,2500.0,9000.0,2025-08-05
TRX-KLN-20250805-00102,SNK01,Chitato Sapi Panggang 68g,1,8500.0,6800.0,8500.0,2025-08-05
TRX-KLN-20250805-00103,GLA01,Gula Pasir Gulaku 1kg,3,16000.0,14000.0,48000.0,2025-08-05
TRX-KLN-20250805-00104,MNM04,Le Minerale 600ml,1,4000.0,3000.0,4000.0,2025-08-05
TRX-KLN-20250805-00104,MNM03,Kopi Kapal Api Mix Sachet,2,1500.0,1200.0,3000.0,2025-08-05
TRX-KLN-20250805-00104,BRS01,Beras Premium C4 5kg,1,68000.0,62000.0,68000.0,2025-08-05
TRX-KLN-20250805-00105,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-05
TRX-KLN-20250805-00106,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-05
TRX-KLN-20250805-00106,KRT02,Sunlight Pencuci Piring 650ml,2,14000.0,12000.0,28000.0,2025-08-05
TRX-KLN-20250805-00106,BRS02,Beras Medium IR64 5kg,1,60000.0,54000.0,60000.0,2025-08-05
TRX-KLN-20250805-00107,RKK02,Rokok Gudang Garam Filter 12,2,25500.0,23000.0,51000.0,2025-08-05
TRX-KLN-20250805-00107,BRS02,Beras Medium IR64 5kg,1,60000.0,54000.0,60000.0,2025-08-05
TRX-KLN-20250805-00108,BRS02,Beras Medium IR64 5kg,2,60000.0,54000.0,120000.0,2025-08-05
TRX-KLN-20250805-00108,RKK02,Rokok Gudang Garam Filter 12,1,25500.0,23000.0,25500.0,2025-08-05
TRX-KLN-20250805-00109,SNK03,Wafer Tango Cokelat 110g,1,7000.0,5200.0,7000.0,2025-08-05
TRX-KLN-20250805-00109,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-05
TRX-KLN-20250806-00110,MIE01,Indomie Goreng Spesial 85g,1,3100.0,2600.0,3100.0,2025-08-06
TRX-KLN-20250806-00110,BRS02,Beras Medium IR64 5kg,2,60000.0,54000.0,120000.0,2025-08-06
TRX-KLN-20250806-00111,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-06
TRX-KLN-20250806-00112,GLA01,Gula Pasir Gulaku 1kg,1,16000.0,14000.0,16000.0,2025-08-06
TRX-KLN-20250806-00113,MIE01,Indomie Goreng Spesial 85g,2,3100.0,2600.0,6200.0,2025-08-06
TRX-KLN-20250806-00113,RKK02,Rokok Gudang Garam Filter 12,3,25500.0,23000.0,76500.0,2025-08-06
TRX-KLN-20250806-00114,MNM03,Kopi Kapal Api Mix Sachet,1,1500.0,1200.0,1500.0,2025-08-06
TRX-KLN-20250806-00115,SNK01,Chitato Sapi Panggang 68g,1,8500.0,6800.0,8500.0,2025-08-06
TRX-KLN-20250806-00115,MNM02,Teh Pucuk Harum 350ml,3,4000.0,3100.0,12000.0,2025-08-06
TRX-KLN-20250806-00116,MIE01,Indomie Goreng Spesial 85g,3,3100.0,2600.0,9300.0,2025-08-06
TRX-KLN-20250806-00117,SNK02,Oreo Chocolate Cream 133g,1,9500.0,7500.0,9500.0,2025-08-06
TRX-KLN-20250806-00118,SNK03,Wafer Tango Cokelat 110g,1,7000.0,5200.0,7000.0,2025-08-06
TRX-KLN-20250806-00118,MYK01,Minyak Goreng Bimoli 1L,3,18500.0,16500.0,55500.0,2025-08-06
TRX-KLN-20250806-00119,MYK01,Minyak Goreng Bimoli 1L,1,18500.0,16500.0,18500.0,2025-08-06
TRX-KLN-20250806-00119,GLA01,Gula Pasir Gulaku 1kg,1,16000.0,14000.0,16000.0,2025-08-06
TRX-KLN-20250806-00120,MIE03,Mie Sedaap Goreng,1,3000.0,2500.0,3000.0,2025-08-06
TRX-KLN-20250806-00121,MNM01,Aqua Air Mineral 600ml,4,4000.0,3000.0,16000.0,2025-08-06
TRX-KLN-20250806-00122,ROTI02,Susu UHT Ultramilk 250ml,2,7000.0,5500.0,14000.0,2025-08-06
TRX-KLN-20250806-00122,MIE03,Mie Sedaap Goreng,2,3000.0,2500.0,6000.0,2025-08-06
TRX-KLN-20250806-00123,TLR01,Telur Ayam Ras 1kg,1,29000.0,26000.0,29000.0,2025-08-06
TRX-KLN-20250806-00124,GAS01,Gas LPG 3kg (Melon),1,21000.0,18500.0,21000.0,2025-08-06
TRX-KLN-20250806-00124,MNM03,Kopi Kapal Api Mix Sachet,3,1500.0,1200.0,4500.0,2025-08-06
TRX-KLN-20250806-00125,SNK02,Oreo Chocolate Cream 133g,2,9500.0,7500.0,19000.0,2025-08-06
TRX-KLN-20250806-00126,ROTI01,Roti Tawar Kupas Sari Roti,1,16000.0,13000.0,16000.0,2025-08-06
TRX-KLN-20250806-00126,MIE02,Indomie Kuah Soto Ayam,2,3000.0,2500.0,6000.0,2025-08-06
TRX-KLN-20250806-00126,MNM02,Teh Pucuk Harum 350ml,3,4000.0,3100.0,12000.0,2025-08-06
