transaction_code,product_code,product_name,category,quantity,price,buying_price,discount,subtotal
STRX-260401-0010,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260401-0010,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260401-0011,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260401-0011,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260401-0012,SMB01,Gula Pasir 1kg,Sembako,3,15500,13500,0,46500
STRX-260401-0012,MIE03,Mie Sedap Soto Ayam,Mie Instan,4,3500,2750,0,14000
STRX-260401-0013,SMB03,Tepung Beras,Sembako,1,4000,3300,0,4000
STRX-260401-0013,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260401-0013,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,1,1500,1200,0,1500
STRX-260401-0014,SNK01,Chitato,Snack,1,2000,1800,0,2000
STRX-260401-0014,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260401-0014,MNM01,Aqua Botol 600ml,Minuman,1,3400,3000,600,3400
STRX-260401-0015,RKK01,Rokok Sampoerna,Rokok,1,24300,24000,2700,24300
STRX-260401-0016,MNM02,Teh Pucuk Harum,Minuman,2,4000,3000,0,8000
STRX-260401-0016,MNM04,Pocari Sweat,Minuman,1,5000,4000,0,5000
STRX-260401-0017,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260401-0018,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260401-0019,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260401-0020,SMB02,Minyak Goreng 1L,Sembako,3,15000,13500,0,45000
STRX-260401-0020,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260401-0020,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,1,1500,1200,0,1500
STRX-260401-0021,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260401-0022,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,2,2000,1700,0,4000
STRX-260401-0022,RKK01,Rokok Sampoerna,Rokok,1,27000,24000,0,27000
STRX-260401-0022,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260401-0022,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260401-0022,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260401-0023,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260401-0023,BMB01,Masako Ayam,Bumbu Dapur,2,5000,4500,0,10000
STRX-260401-0023,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,1,2000,1700,0,2000
STRX-260401-0024,RKK01,Rokok Sampoerna,Rokok,3,27000,24000,0,81000
STRX-260401-0024,MIE03,Mie Sedap Soto Ayam,Mie Instan,2,3500,2750,0,7000
STRX-260401-0025,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260401-0025,MIE01,Indomie Goreng,Mie Instan,1,3000,2500,0,3000
STRX-260401-0026,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260401-0026,MSC02,Milo Sachet,Minuman Sachet,4,1000,700,0,4000
STRX-260401-0026,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260401-0027,MIE02,Mie Sedap Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260401-0027,MIE04,Mie Sedap Cup Soto,Mie Instan,1,5500,4500,0,5500
STRX-260401-0028,MIE03,Mie Sedap Soto Ayam,Mie Instan,3,3500,2750,0,10500
STRX-260401-0028,SMB01,Gula Pasir 1kg,Sembako,2,15500,13500,0,31000
STRX-260401-0029,GAS01,Gas LPG 3kg,Kebutuhan Dapur,1,20700,20000,2300,20700
STRX-260401-0030,SMB02,Minyak Goreng 1L,Sembako,3,13500,13500,1500,40500
STRX-260401-0030,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260402-0031,PRW01,Shampoo Sachet,Perawatan Tubuh,2,1000,500,0,2000
STRX-260402-0031,SNK01,Chitato,Snack,1,2000,1800,0,2000
STRX-260402-0031,BMB01,Masako Ayam,Bumbu Dapur,4,5000,4500,0,20000
STRX-260402-0031,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260402-0032,SNK03,Chocolatos,Snack,2,1500,1000,0,3000
STRX-260402-0032,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260402-0033,MIE02,Mie Sedap Goreng,Mie Instan,3,3000,2500,0,9000
STRX-260402-0033,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260402-0033,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260402-0033,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260402-0034,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260402-0034,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260402-0034,MNM01,Aqua Botol 600ml,Minuman,3,3400,3000,600,10200
STRX-260402-0034,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260402-0034,MIE03,Mie Sedap Soto Ayam,Mie Instan,3,3500,2750,0,10500
STRX-260402-0035,MSC02,Milo Sachet,Minuman Sachet,3,1000,700,0,3000
STRX-260402-0035,RKK01,Rokok Sampoerna,Rokok,3,27000,24000,0,81000
STRX-260402-0035,MIE01,Indomie Goreng,Mie Instan,1,3000,2500,0,3000
STRX-260402-0035,BMB01,Masako Ayam,Bumbu Dapur,2,5000,4500,0,10000
STRX-260402-0036,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,2,2000,1700,0,4000
STRX-260402-0036,SMB01,Gula Pasir 1kg,Sembako,2,15500,13500,0,31000
STRX-260402-0037,SNK03,Chocolatos,Snack,2,1500,1000,0,3000
STRX-260402-0037,PRW01,Shampoo Sachet,Perawatan Tubuh,2,1000,500,0,2000
STRX-260402-0038,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260402-0038,SNK03,Chocolatos,Snack,2,1500,1000,0,3000
STRX-260402-0039,MIE02,Mie Sedap Goreng,Mie Instan,3,2850,2500,150,8550
STRX-260402-0039,RKK01,Rokok Sampoerna,Rokok,3,27000,24000,0,81000
STRX-260402-0039,MNM03,Fanta 390ml,Minuman,2,5000,4000,0,10000
STRX-260402-0040,KRT02,Sunlight Cuci Piring,Kebutuhan RT,2,10000,9000,0,20000
STRX-260402-0040,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260402-0041,BMB01,Masako Ayam,Bumbu Dapur,4,5000,4500,0,20000
STRX-260402-0041,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260402-0041,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260402-0042,SMB03,Tepung Beras,Sembako,1,4000,3300,0,4000
STRX-260402-0042,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260402-0043,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260402-0043,MIE04,Mie Sedap Cup Soto,Mie Instan,1,5500,4500,0,5500
STRX-260402-0044,SNK02,Better Caramel,Snack,2,2000,1600,0,4000
STRX-260402-0044,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260402-0044,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260402-0045,MNM02,Teh Pucuk Harum,Minuman,2,4000,3000,0,8000
STRX-260402-0045,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260402-0046,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260402-0047,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260403-0048,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,1,1500,1200,0,1500
STRX-260403-0048,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260403-0049,GAS01,Gas LPG 3kg,Kebutuhan Dapur,1,23000,20000,0,23000
STRX-260403-0049,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260403-0049,SMB01,Gula Pasir 1kg,Sembako,2,15500,13500,0,31000
STRX-260403-0050,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260403-0050,SNK02,Better Caramel,Snack,1,2000,1600,0,2000
STRX-260403-0050,MIE01,Indomie Goreng,Mie Instan,1,3000,2500,0,3000
STRX-260403-0050,MIE03,Mie Sedap Soto Ayam,Mie Instan,4,3500,2750,0,14000
STRX-260403-0050,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,3,2000,1700,0,6000
STRX-260403-0051,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260403-0052,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260403-0052,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260403-0052,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260403-0053,MNM04,Pocari Sweat,Minuman,2,5000,4000,0,10000
STRX-260403-0053,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260403-0053,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260403-0053,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260403-0054,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260403-0054,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260403-0055,RKK01,Rokok Sampoerna,Rokok,3,27000,24000,0,81000
STRX-260403-0056,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260403-0056,MIE03,Mie Sedap Soto Ayam,Mie Instan,2,3500,2750,0,7000
STRX-260403-0057,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260403-0057,MNM02,Teh Pucuk Harum,Minuman,2,4000,3000,0,8000
STRX-260403-0057,MIE03,Mie Sedap Soto Ayam,Mie Instan,3,3500,2750,0,10500
STRX-260403-0058,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260403-0058,MNM04,Pocari Sweat,Minuman,1,4250,4000,750,4250
STRX-260403-0058,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3325,2750,175,3325
STRX-260403-0059,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260403-0059,SNK01,Chitato,Snack,3,2000,1800,0,6000
STRX-260403-0059,SMB04,Kecap Manis,Sembako,2,4000,3300,0,8000
STRX-260403-0059,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260403-0060,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260403-0061,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,2,2000,1700,0,4000
STRX-260403-0061,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260403-0062,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260403-0062,SNK01,Chitato,Snack,1,2000,1800,0,2000
STRX-260403-0062,GAS01,Gas LPG 3kg,Kebutuhan Dapur,1,20700,20000,2300,20700
STRX-260403-0063,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260403-0063,RKK01,Rokok Sampoerna,Rokok,4,27000,24000,0,108000
STRX-260403-0064,MIE02,Mie Sedap Goreng,Mie Instan,1,3000,2500,0,3000
STRX-260403-0064,MIE01,Indomie Goreng,Mie Instan,3,3000,2500,0,9000
STRX-260403-0065,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260403-0065,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260403-0066,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,4,2000,1700,0,8000
STRX-260403-0066,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260403-0066,MIE02,Mie Sedap Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260403-0067,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260403-0067,BMB01,Masako Ayam,Bumbu Dapur,2,5000,4500,0,10000
STRX-260403-0068,SMB04,Kecap Manis,Sembako,1,4000,3300,0,4000
STRX-260403-0068,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260403-0069,MIE03,Mie Sedap Soto Ayam,Mie Instan,2,3500,2750,0,7000
STRX-260403-0069,PRW01,Shampoo Sachet,Perawatan Tubuh,2,1000,500,0,2000
STRX-260403-0070,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260403-0070,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260403-0071,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260403-0072,MIE02,Mie Sedap Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260403-0072,KRT02,Sunlight Cuci Piring,Kebutuhan RT,1,10000,9000,0,10000
STRX-260404-0073,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260404-0073,MIE02,Mie Sedap Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260404-0073,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,3,2000,1700,0,6000
STRX-260404-0073,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260404-0074,KRT02,Sunlight Cuci Piring,Kebutuhan RT,1,10000,9000,0,10000
STRX-260404-0074,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,2,2000,1700,0,4000
STRX-260404-0074,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260404-0075,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260404-0075,KRT03,Sabun Cuci Baju,Kebutuhan RT,3,5000,4500,0,15000
STRX-260404-0076,PRW01,Shampoo Sachet,Perawatan Tubuh,2,1000,500,0,2000
STRX-260404-0076,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260404-0076,SMB02,Minyak Goreng 1L,Sembako,1,15000,13500,0,15000
STRX-260404-0077,SMB03,Tepung Beras,Sembako,1,4000,3300,0,4000
STRX-260404-0077,SNK03,Chocolatos,Snack,1,1500,1000,0,1500
STRX-260404-0077,MIE02,Mie Sedap Goreng,Mie Instan,3,3000,2500,0,9000
STRX-260404-0077,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260404-0077,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260404-0078,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260404-0078,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260404-0078,SMB04,Kecap Manis,Sembako,1,4000,3300,0,4000
STRX-260404-0078,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260404-0078,KRT03,Sabun Cuci Baju,Kebutuhan RT,1,5000,4500,0,5000
STRX-260404-0079,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260404-0079,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260404-0079,MNM03,Fanta 390ml,Minuman,2,5000,4000,0,10000
STRX-260404-0080,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260404-0081,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260404-0081,PRW01,Shampoo Sachet,Perawatan Tubuh,1,1000,500,0,1000
STRX-260404-0082,MSC02,Milo Sachet,Minuman Sachet,3,1000,700,0,3000
STRX-260404-0082,MIE03,Mie Sedap Soto Ayam,Mie Instan,4,3500,2750,0,14000
STRX-260404-0082,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,3,2000,1700,0,6000
STRX-260404-0082,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260404-0082,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260404-0083,MIE01,Indomie Goreng,Mie Instan,3,2700,2500,300,8100
STRX-260404-0083,SMB04,Kecap Manis,Sembako,2,4000,3300,0,8000
STRX-260404-0083,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260404-0084,KRT03,Sabun Cuci Baju,Kebutuhan RT,1,5000,4500,0,5000
STRX-260404-0084,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260404-0084,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260404-0085,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260404-0085,PRW01,Shampoo Sachet,Perawatan Tubuh,2,850,500,150,1700
STRX-260404-0085,KRT03,Sabun Cuci Baju,Kebutuhan RT,1,5000,4500,0,5000
STRX-260404-0085,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260404-0086,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260404-0086,MIE02,Mie Sedap Goreng,Mie Instan,1,3000,2500,0,3000
STRX-260404-0086,SMB01,Gula Pasir 1kg,Sembako,3,15500,13500,0,46500
STRX-260404-0086,BMB01,Masako Ayam,Bumbu Dapur,2,5000,4500,0,10000
STRX-260404-0087,MIE01,Indomie Goreng,Mie Instan,3,3000,2500,0,9000
STRX-260404-0087,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260404-0087,MNM04,Pocari Sweat,Minuman,2,5000,4000,0,10000
STRX-260404-0087,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260404-0088,MNM01,Aqua Botol 600ml,Minuman,5,4000,3000,0,20000
STRX-260404-0089,BMB01,Masako Ayam,Bumbu Dapur,1,5000,4500,0,5000
STRX-260404-0089,MSC02,Milo Sachet,Minuman Sachet,4,1000,700,0,4000
STRX-260404-0090,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,1,2000,1700,0,2000
STRX-260404-0090,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260404-0090,SNK03,Chocolatos,Snack,1,1500,1000,0,1500
STRX-260404-0091,SNK03,Chocolatos,Snack,3,1500,1000,0,4500
STRX-260404-0091,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,3,2000,1700,0,6000
STRX-260404-0091,MIE03,Mie Sedap Soto Ayam,Mie Instan,4,3500,2750,0,14000
STRX-260404-0092,MIE03,Mie Sedap Soto Ayam,Mie Instan,3,3500,2750,0,10500
STRX-260404-0092,MIE01,Indomie Goreng,Mie Instan,3,3000,2500,0,9000
STRX-260404-0093,MNM02,Teh Pucuk Harum,Minuman,3,4000,3000,0,12000
STRX-260404-0093,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260404-0093,MSC02,Milo Sachet,Minuman Sachet,1,1000,700,0,1000
STRX-260404-0094,MNM03,Fanta 390ml,Minuman,2,5000,4000,0,10000
STRX-260404-0094,BMB01,Masako Ayam,Bumbu Dapur,1,5000,4500,0,5000
STRX-260404-0094,SMB03,Tepung Beras,Sembako,1,4000,3300,0,4000
STRX-260404-0095,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260404-0095,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260404-0096,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260404-0096,MIE04,Mie Sedap Cup Soto,Mie Instan,1,5500,4500,0,5500
STRX-260404-0097,MNM02,Teh Pucuk Harum,Minuman,2,4000,3000,0,8000
STRX-260404-0097,SMB04,Kecap Manis,Sembako,1,4000,3300,0,4000
STRX-260404-0098,MIE01,Indomie Goreng,Mie Instan,3,3000,2500,0,9000
STRX-260404-0098,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260404-0099,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260404-0100,SNK02,Better Caramel,Snack,2,2000,1600,0,4000
STRX-260404-0100,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,4,2000,1700,0,8000
STRX-260404-0101,MSC02,Milo Sachet,Minuman Sachet,3,1000,700,0,3000
STRX-260404-0101,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260404-0101,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260404-0102,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260404-0102,SNK01,Chitato,Snack,2,2000,1800,0,4000
STRX-260404-0102,MIE02,Mie Sedap Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260404-0103,SMB02,Minyak Goreng 1L,Sembako,2,15000,13500,0,30000
STRX-260404-0103,SMB04,Kecap Manis,Sembako,1,4000,3300,0,4000
STRX-260404-0103,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260405-0104,SMB02,Minyak Goreng 1L,Sembako,1,15000,13500,0,15000
STRX-260405-0104,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260405-0104,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,2,1700,1700,300,3400
STRX-260405-0105,RKK01,Rokok Sampoerna,Rokok,4,27000,24000,0,108000
STRX-260405-0105,MNM03,Fanta 390ml,Minuman,2,4750,4000,250,9500
STRX-260405-0106,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,1,2000,1700,0,2000
STRX-260405-0106,RKK01,Rokok Sampoerna,Rokok,4,27000,24000,0,108000
STRX-260405-0106,MNM01,Aqua Botol 600ml,Minuman,4,4000,3000,0,16000
STRX-260405-0107,MNM01,Aqua Botol 600ml,Minuman,1,4000,3000,0,4000
STRX-260405-0108,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260405-0108,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260405-0109,SMB04,Kecap Manis,Sembako,1,4000,3300,0,4000
STRX-260405-0110,SNK02,Better Caramel,Snack,2,2000,1600,0,4000
STRX-260405-0111,MSC02,Milo Sachet,Minuman Sachet,2,1000,700,0,2000
STRX-260405-0111,PRW01,Shampoo Sachet,Perawatan Tubuh,2,1000,500,0,2000
STRX-260405-0111,MIE03,Mie Sedap Soto Ayam,Mie Instan,2,3500,2750,0,7000
STRX-260405-0112,SMB02,Minyak Goreng 1L,Sembako,2,15000,13500,0,30000
STRX-260405-0112,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,2,1500,1200,0,3000
STRX-260405-0113,SNK01,Chitato,Snack,1,2000,1800,0,2000
STRX-260405-0113,SMB02,Minyak Goreng 1L,Sembako,1,15000,13500,0,15000
STRX-260405-0113,BMB01,Masako Ayam,Bumbu Dapur,4,5000,4500,0,20000
STRX-260405-0113,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,1,2000,1700,0,2000
STRX-260405-0113,MIE02,Mie Sedap Goreng,Mie Instan,1,3000,2500,0,3000
STRX-260405-0114,MIE01,Indomie Goreng,Mie Instan,2,3000,2500,0,6000
STRX-260405-0114,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260405-0115,MSC01,Kopi Sachet Gula Aren,Minuman Sachet,4,2000,1700,0,8000
STRX-260405-0115,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260405-0116,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260405-0117,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260405-0117,SNK03,Chocolatos,Snack,2,1500,1000,0,3000
STRX-260405-0118,MNM03,Fanta 390ml,Minuman,1,5000,4000,0,5000
STRX-260405-0118,SMB01,Gula Pasir 1kg,Sembako,1,15500,13500,0,15500
STRX-260405-0118,MIE03,Mie Sedap Soto Ayam,Mie Instan,1,3500,2750,0,3500
STRX-260405-0119,KRT01,Rinso Anti Noda Sachet,Kebutuhan RT,2,1500,1200,0,3000
STRX-260405-0119,KRT03,Sabun Cuci Baju,Kebutuhan RT,1,5000,4500,0,5000
STRX-260405-0119,SMB02,Minyak Goreng 1L,Sembako,2,15000,13500,0,30000
STRX-260405-0120,SMB02,Minyak Goreng 1L,Sembako,2,15000,13500,0,30000
STRX-260405-0120,MNM01,Aqua Botol 600ml,Minuman,3,4000,3000,0,12000
STRX-260405-0120,RKK01,Rokok Sampoerna,Rokok,1,27000,24000,0,27000
STRX-260405-0121,MNM01,Aqua Botol 600ml,Minuman,2,4000,3000,0,8000
STRX-260405-0121,GAS01,Gas LPG 3kg,Kebutuhan Dapur,3,23000,20000,0,69000
STRX-260405-0121,PRW01,Shampoo Sachet,Perawatan Tubuh,2,1000,500,0,2000
STRX-260405-0121,MNM02,Teh Pucuk Harum,Minuman,1,4000,3000,0,4000
STRX-260405-0122,RKK01,Rokok Sampoerna,Rokok,2,27000,24000,0,54000
STRX-260405-0122,MNM03,Fanta 390ml,Minuman,2,5000,4000,0,10000
STRX-260405-0122,MIE01,Indomie Goreng,Mie Instan,4,3000,2500,0,12000
STRX-260405-0122,SMB04,Kecap Manis,Sembako,2,4000,3300,0,8000
STRX-260405-0123,MIE02,Mie Sedap Goreng,Mie Instan,1,3000,2500,0,3000
